GZ_STORAGE_TYPE_TIMESERIES_1,GZ_STORAGE_TYPE_TIMESERIES_2,GZ_STORAGE_TYPE_TIMESERIES_3,GasStorageWithdrawalQuantity
CA,aquifer,20230213,0.0
CA,aquifer,20230216,0.0
CA,aquifer,20230306,0.0
CA,aquifer,20230315,0.0
CA,aquifer,20230403,0.0
CA,aquifer,20230410,0.0
CA,aquifer,20230530,0.0
CA,aquifer,20230517,0.0
CA,aquifer,20230630,0.0
CA,aquifer,20230615,0.0
CA,aquifer,20230727,0.0
CA,aquifer,20230710,0.0
CA,aquifer,20230803,0.0
CA,aquifer,20230831,0.0
CA,aquifer,20230906,0.0
CA,aquifer,20230912,0.0
CA,aquifer,20231005,0.0
CA,aquifer,20231020,0.0
CA,aquifer,20231129,0.0
CA,aquifer,20231121,0.0
CA,aquifer,20231228,0.0
CA,aquifer,20231218,0.0
CA,depleted field,20230103,1879238.4089094265
CA,depleted field,20230130,3694867.999310234
CA,depleted field,20230213,697170.1112782846
CA,depleted field,20230216,2579441.919394522
CA,depleted field,20230306,0.0
CA,depleted field,20230315,0.0
CA,depleted field,20230403,0.0
CA,depleted field,20230410,0.0
CA,depleted field,20230530,0.0
CA,depleted field,20230517,0.0
CA,depleted field,20230630,0.0
CA,depleted field,20230615,0.0
CA,depleted field,20230727,0.0
CA,depleted field,20230710,0.0
CA,depleted field,20230803,0.0
CA,depleted field,20230831,0.0
CA,depleted field,20230906,0.0
CA,depleted field,20230912,0.0
CA,depleted field,20231005,0.0
CA,depleted field,20231020,0.0
CA,depleted field,20231129,2427506.173067565
CA,depleted field,20231121,1859856.960332051
CA,depleted field,20231228,751937.7039238396
CA,depleted field,20231218,709561.3214329318
CA,salt cavern,20230103,0.0
CA,salt cavern,20230130,0.0
CA,salt cavern,20230213,0.0
CA,salt cavern,20230216,0.0
CA,salt cavern,20230306,0.0
CA,salt cavern,20230315,0.0
CA,salt cavern,20230403,0.0
CA,salt cavern,20230410,0.0
CA,salt cavern,20230530,0.0
CA,salt cavern,20230517,0.0
CA,salt cavern,20230630,0.0
CA,salt cavern,20230615,0.0
CA,salt cavern,20230727,0.0
CA,salt cavern,20230710,0.0
CA,salt cavern,20230803,0.0
CA,salt cavern,20230831,0.0
CA,salt cavern,20230906,0.0
CA,salt cavern,20230912,0.0
CA,salt cavern,20231005,0.0
CA,salt cavern,20231020,0.0
CA,salt cavern,20231129,0.0
CA,salt cavern,20231121,0.0
CA,salt cavern,20231228,0.0
CA,salt cavern,20231218,0.0
CO,aquifer,20230103,0.0
CO,aquifer,20230130,0.0
CO,aquifer,20230213,0.0
CO,aquifer,20230216,0.0
CO,aquifer,20230306,0.0
CO,aquifer,20230315,0.0
CO,aquifer,20230403,0.0
CO,aquifer,20230410,0.0
CO,aquifer,20230530,0.0
CO,aquifer,20230517,0.0
CO,aquifer,20230630,0.0
CO,aquifer,20230615,0.0
CO,aquifer,20230727,0.0
CO,aquifer,20230710,0.0
CO,aquifer,20230803,0.0
CO,aquifer,20230831,0.0
CO,aquifer,20230906,0.0
CO,aquifer,20230912,0.0
CO,aquifer,20231005,0.0
CO,aquifer,20231020,0.0
CO,aquifer,20231129,0.0
CO,aquifer,20231121,0.0
CO,aquifer,20231228,0.0
CO,aquifer,20231218,0.0
CO,depleted field,20230103,0.0
CO,depleted field,20230130,99587.02177786664
CO,depleted field,20230213,0.0
CO,depleted field,20230216,0.0
CO,depleted field,20230306,0.0
CO,depleted field,20230315,0.0
CO,depleted field,20230403,0.0
CO,depleted field,20230410,0.0
CO,depleted field,20230530,0.0
CO,depleted field,20230517,0.0
CO,depleted field,20230630,0.0
CO,depleted field,20230615,0.0
CO,depleted field,20230727,0.0
CO,depleted field,20230710,0.0
CO,depleted field,20230803,0.0
CO,depleted field,20230831,0.0
CO,depleted field,20230906,0.0
CO,depleted field,20230912,0.0
CO,depleted field,20231005,0.0
CO,depleted field,20231020,489815.41066142346
CO,depleted field,20231129,1171911.096272537
CO,depleted field,20231121,1836250.109692821
CO,depleted field,20231228,2735343.573238979
CO,depleted field,20231218,13479.93467488885
CO,salt cavern,20230103,0.0
CO,salt cavern,20230130,0.0
CO,salt cavern,20230213,0.0
CO,salt cavern,20230216,0.0
CO,salt cavern,20230306,0.0
CO,salt cavern,20230315,0.0
CO,salt cavern,20230403,0.0
CO,salt cavern,20230410,0.0
CO,salt cavern,20230530,0.0
CO,salt cavern,20230517,0.0
CO,salt cavern,20230630,0.0
CO,salt cavern,20230615,0.0
CO,salt cavern,20230727,0.0
CO,salt cavern,20230710,0.0
CO,salt cavern,20230803,0.0
CO,salt cavern,20230831,0.0
CO,salt cavern,20230906,0.0
CO,salt cavern,20230912,0.0
CO,salt cavern,20231005,0.0
CO,salt cavern,20231020,0.0
CO,salt cavern,20231129,0.0
CO,salt cavern,20231121,0.0
CO,salt cavern,20231228,0.0
CO,salt cavern,20231218,0.0
CT,aquifer,20230103,0.0
CT,aquifer,20230130,0.0
CT,aquifer,20230213,0.0
CT,aquifer,20230216,0.0
CT,aquifer,20230306,0.0
CT,aquifer,20230315,0.0
CT,aquifer,20230403,0.0
CT,aquifer,20230410,0.0
CT,aquifer,20230530,0.0
CT,aquifer,20230517,0.0
CT,aquifer,20230630,0.0
CT,aquifer,20230615,0.0
CT,aquifer,20230727,0.0
CT,aquifer,20230710,0.0
CT,aquifer,20230803,0.0
CT,aquifer,20230831,0.0
CT,aquifer,20230906,0.0
CT,aquifer,20230912,0.0
CT,aquifer,20231005,0.0
CT,aquifer,20231020,0.0
CT,aquifer,20231129,0.0
CT,aquifer,20231121,0.0
CT,aquifer,20231228,0.0
CT,aquifer,20231218,0.0
CT,depleted field,20230103,0.0
CT,depleted field,20230130,0.0
CT,depleted field,20230213,0.0
CT,depleted field,20230216,0.0
CT,depleted field,20230306,0.0
CT,depleted field,20230315,0.0
CT,depleted field,20230403,0.0
CT,depleted field,20230410,0.0
CT,depleted field,20230530,0.0
CT,depleted field,20230517,0.0
CT,depleted field,20230630,0.0
CT,depleted field,20230615,0.0
CT,depleted field,20230727,0.0
CT,depleted field,20230710,0.0
CT,depleted field,20230803,0.0
CT,depleted field,20230831,0.0
CT,depleted field,20230906,0.0
CT,depleted field,20230912,0.0
CT,depleted field,20231005,0.0
CT,depleted field,20231020,0.0
CT,depleted field,20231129,0.0
CT,depleted field,20231121,0.0
CT,depleted field,20231228,0.0
CT,depleted field,20231218,0.0
CT,salt cavern,20230103,0.0
CT,salt cavern,20230130,0.0
CT,salt cavern,20230213,0.0
CT,salt cavern,20230216,0.0
CT,salt cavern,20230306,0.0
CT,salt cavern,20230315,0.0
CT,salt cavern,20230403,0.0
CT,salt cavern,20230410,0.0
CT,salt cavern,20230530,0.0
CT,salt cavern,20230517,0.0
CT,salt cavern,20230630,0.0
CT,salt cavern,20230615,0.0
CT,salt cavern,20230727,0.0
CT,salt cavern,20230710,0.0
CT,salt cavern,20230803,0.0
CT,salt cavern,20230831,0.0
CT,salt cavern,20230906,0.0
CT,salt cavern,20230912,0.0
CT,salt cavern,20231005,0.0
CT,salt cavern,20231020,0.0
CT,salt cavern,20231129,0.0
CT,salt cavern,20231121,0.0
CT,salt cavern,20231228,0.0
CT,salt cavern,20231218,0.0
DC,aquifer,20230103,0.0
DC,aquifer,20230130,0.0
DC,aquifer,20230213,0.0
DC,aquifer,20230216,0.0
DC,aquifer,20230306,0.0
DC,aquifer,20230315,0.0
DC,aquifer,20230403,0.0
DC,aquifer,20230410,0.0
DC,aquifer,20230530,0.0
DC,aquifer,20230517,0.0
DC,aquifer,20230630,0.0
DC,aquifer,20230615,0.0
DC,aquifer,20230727,0.0
DC,aquifer,20230710,0.0
DC,aquifer,20230803,0.0
DC,aquifer,20230831,0.0
DC,aquifer,20230906,0.0
DC,aquifer,20230912,0.0
DC,aquifer,20231005,0.0
DC,aquifer,20231020,0.0
DC,aquifer,20231129,0.0
DC,aquifer,20231121,0.0
DC,aquifer,20231228,0.0
DC,aquifer,20231218,0.0
DC,depleted field,20230103,0.0
DC,depleted field,20230130,0.0
DC,depleted field,20230213,0.0
DC,depleted field,20230216,0.0
DC,depleted field,20230306,0.0
DC,depleted field,20230315,0.0
DC,depleted field,20230403,0.0
DC,depleted field,20230410,0.0
DC,depleted field,20230530,0.0
DC,depleted field,20230517,0.0
DC,depleted field,20230630,0.0
DC,depleted field,20230615,0.0
DC,depleted field,20230727,0.0
DC,depleted field,20230710,0.0
DC,depleted field,20230803,0.0
DC,depleted field,20230831,0.0
DC,depleted field,20230906,0.0
DC,depleted field,20230912,0.0
DC,depleted field,20231005,0.0
DC,depleted field,20231020,0.0
DC,depleted field,20231129,0.0
DC,depleted field,20231121,0.0
DC,depleted field,20231228,0.0
DC,depleted field,20231218,0.0
DC,salt cavern,20230103,0.0
DC,salt cavern,20230130,0.0
DC,salt cavern,20230213,0.0
DC,salt cavern,20230216,0.0
DC,salt cavern,20230306,0.0
DC,salt cavern,20230315,0.0
DC,salt cavern,20230403,0.0
DC,salt cavern,20230410,0.0
DC,salt cavern,20230530,0.0
DC,salt cavern,20230517,0.0
DC,salt cavern,20230630,0.0
DC,salt cavern,20230615,0.0
DC,salt cavern,20230727,0.0
DC,salt cavern,20230710,0.0
DC,salt cavern,20230803,0.0
DC,salt cavern,20230831,0.0
DC,salt cavern,20230906,0.0
DC,salt cavern,20230912,0.0
DC,salt cavern,20231005,0.0
DC,salt cavern,20231020,0.0
DC,salt cavern,20231129,0.0
DC,salt cavern,20231121,0.0
DC,salt cavern,20231228,0.0
DC,salt cavern,20231218,0.0
DE,aquifer,20230103,0.0
DE,aquifer,20230130,0.0
DE,aquifer,20230213,0.0
DE,aquifer,20230216,0.0
DE,aquifer,20230306,0.0
DE,aquifer,20230315,0.0
DE,aquifer,20230403,0.0
DE,aquifer,20230410,0.0
DE,aquifer,20230530,0.0
DE,aquifer,20230517,0.0
DE,aquifer,20230630,0.0
DE,aquifer,20230615,0.0
DE,aquifer,20230727,0.0
DE,aquifer,20230710,0.0
DE,aquifer,20230803,0.0
DE,aquifer,20230831,0.0
DE,aquifer,20230906,0.0
DE,aquifer,20230912,0.0
DE,aquifer,20231005,0.0
DE,aquifer,20231020,0.0
DE,aquifer,20231129,0.0
DE,aquifer,20231121,0.0
DE,aquifer,20231228,0.0
DE,aquifer,20231218,0.0
DE,depleted field,20230103,0.0
DE,depleted field,20230130,0.0
DE,depleted field,20230213,0.0
DE,depleted field,20230216,0.0
DE,depleted field,20230306,0.0
DE,depleted field,20230315,0.0
DE,depleted field,20230403,0.0
DE,depleted field,20230410,0.0
DE,depleted field,20230530,0.0
DE,depleted field,20230517,0.0
DE,depleted field,20230630,0.0
DE,depleted field,20230615,0.0
DE,depleted field,20230727,0.0
DE,depleted field,20230710,0.0
DE,depleted field,20230803,0.0
DE,depleted field,20230831,0.0
DE,depleted field,20230906,0.0
DE,depleted field,20230912,0.0
DE,depleted field,20231005,0.0
DE,depleted field,20231020,0.0
DE,depleted field,20231129,0.0
DE,depleted field,20231121,0.0
DE,depleted field,20231228,0.0
DE,depleted field,20231218,0.0
DE,salt cavern,20230103,0.0
DE,salt cavern,20230130,0.0
DE,salt cavern,20230213,0.0
DE,salt cavern,20230216,0.0
DE,salt cavern,20230306,0.0
DE,salt cavern,20230315,0.0
DE,salt cavern,20230403,0.0
DE,salt cavern,20230410,0.0
DE,salt cavern,20230530,0.0
DE,salt cavern,20230517,0.0
DE,salt cavern,20230630,0.0
DE,salt cavern,20230615,0.0
DE,salt cavern,20230727,0.0
DE,salt cavern,20230710,0.0
DE,salt cavern,20230803,0.0
DE,salt cavern,20230831,0.0
DE,salt cavern,20230906,0.0
DE,salt cavern,20230912,0.0
DE,salt cavern,20231005,0.0
DE,salt cavern,20231020,0.0
DE,salt cavern,20231129,0.0
DE,salt cavern,20231121,0.0
DE,salt cavern,20231228,0.0
DE,salt cavern,20231218,0.0
FL,aquifer,20230103,0.0
FL,aquifer,20230130,0.0
FL,aquifer,20230213,0.0
FL,aquifer,20230216,0.0
FL,aquifer,20230306,0.0
FL,aquifer,20230315,0.0
FL,aquifer,20230403,0.0
FL,aquifer,20230410,0.0
FL,aquifer,20230530,0.0
FL,aquifer,20230517,0.0
FL,aquifer,20230630,0.0
FL,aquifer,20230615,0.0
FL,aquifer,20230727,0.0
FL,aquifer,20230710,0.0
FL,aquifer,20230803,0.0
FL,aquifer,20230831,0.0
FL,aquifer,20230906,0.0
FL,aquifer,20230912,0.0
FL,aquifer,20231005,0.0
FL,aquifer,20231020,0.0
FL,aquifer,20231129,0.0
FL,aquifer,20231121,0.0
FL,aquifer,20231228,0.0
FL,aquifer,20231218,0.0
FL,depleted field,20230103,0.0
FL,depleted field,20230130,0.0
FL,depleted field,20230213,0.0
FL,depleted field,20230216,0.0
FL,depleted field,20230306,0.0
FL,depleted field,20230315,0.0
FL,depleted field,20230403,0.0
FL,depleted field,20230410,0.0
FL,depleted field,20230530,0.0
FL,depleted field,20230517,0.0
FL,depleted field,20230630,0.0
FL,depleted field,20230615,0.0
FL,depleted field,20230727,0.0
FL,depleted field,20230710,0.0
FL,depleted field,20230803,0.0
FL,depleted field,20230831,0.0
FL,depleted field,20230906,0.0
FL,depleted field,20230912,0.0
FL,depleted field,20231005,0.0
FL,depleted field,20231020,0.0
FL,depleted field,20231129,0.0
FL,depleted field,20231121,0.0
FL,depleted field,20231228,0.0
FL,depleted field,20231218,0.0
FL,salt cavern,20230103,0.0
FL,salt cavern,20230130,0.0
FL,salt cavern,20230213,0.0
FL,salt cavern,20230216,0.0
FL,salt cavern,20230306,0.0
FL,salt cavern,20230315,0.0
FL,salt cavern,20230403,0.0
FL,salt cavern,20230410,0.0
FL,salt cavern,20230530,0.0
FL,salt cavern,20230517,0.0
FL,salt cavern,20230630,0.0
FL,salt cavern,20230615,0.0
FL,salt cavern,20230727,0.0
FL,salt cavern,20230710,0.0
FL,salt cavern,20230803,0.0
FL,salt cavern,20230831,0.0
FL,salt cavern,20230906,0.0
FL,salt cavern,20230912,0.0
FL,salt cavern,20231005,0.0
FL,salt cavern,20231020,0.0
FL,salt cavern,20231129,0.0
FL,salt cavern,20231121,0.0
FL,salt cavern,20231228,0.0
FL,salt cavern,20231218,0.0
GA,aquifer,20230103,0.0
GA,aquifer,20230130,0.0
GA,aquifer,20230213,0.0
GA,aquifer,20230216,0.0
GA,aquifer,20230306,0.0
GA,aquifer,20230315,0.0
GA,aquifer,20230403,0.0
GA,aquifer,20230410,0.0
GA,aquifer,20230530,0.0
GA,aquifer,20230517,0.0
GA,aquifer,20230630,0.0
GA,aquifer,20230615,0.0
GA,aquifer,20230727,0.0
GA,aquifer,20230710,0.0
GA,aquifer,20230803,0.0
GA,aquifer,20230831,0.0
GA,aquifer,20230906,0.0
GA,aquifer,20230912,0.0
GA,aquifer,20231005,0.0
GA,aquifer,20231020,0.0
GA,aquifer,20231129,0.0
GA,aquifer,20231121,0.0
GA,aquifer,20231228,0.0
GA,aquifer,20231218,0.0
GA,depleted field,20230103,0.0
GA,depleted field,20230130,0.0
GA,depleted field,20230213,0.0
GA,depleted field,20230216,0.0
GA,depleted field,20230306,0.0
GA,depleted field,20230315,0.0
GA,depleted field,20230403,0.0
GA,depleted field,20230410,0.0
GA,depleted field,20230530,0.0
GA,depleted field,20230517,0.0
GA,depleted field,20230630,0.0
GA,depleted field,20230615,0.0
GA,depleted field,20230727,0.0
GA,depleted field,20230710,0.0
GA,depleted field,20230803,0.0
GA,depleted field,20230831,0.0
GA,depleted field,20230906,0.0
GA,depleted field,20230912,0.0
GA,depleted field,20231005,0.0
GA,depleted field,20231020,0.0
GA,depleted field,20231129,0.0
GA,depleted field,20231121,0.0
GA,depleted field,20231228,0.0
GA,depleted field,20231218,0.0
GA,salt cavern,20230103,0.0
GA,salt cavern,20230130,0.0
GA,salt cavern,20230213,0.0
GA,salt cavern,20230216,0.0
GA,salt cavern,20230306,0.0
GA,salt cavern,20230315,0.0
GA,salt cavern,20230403,0.0
GA,salt cavern,20230410,0.0
GA,salt cavern,20230530,0.0
GA,salt cavern,20230517,0.0
GA,salt cavern,20230630,0.0
GA,salt cavern,20230615,0.0
GA,salt cavern,20230727,0.0
GA,salt cavern,20230710,0.0
GA,salt cavern,20230803,0.0
GA,salt cavern,20230831,0.0
GA,salt cavern,20230906,0.0
GA,salt cavern,20230912,0.0
GA,salt cavern,20231005,0.0
GA,salt cavern,20231020,0.0
GA,salt cavern,20231129,0.0
GA,salt cavern,20231121,0.0
GA,salt cavern,20231228,0.0
GA,salt cavern,20231218,0.0
IA,aquifer,20230103,0.0
IA,aquifer,20230130,2145106.492383221
IA,aquifer,20230213,0.0
IA,aquifer,20230216,0.0
IA,aquifer,20230306,0.0
IA,aquifer,20230315,0.0
IA,aquifer,20230403,0.0
IA,aquifer,20230410,0.0
IA,aquifer,20230530,0.0
IA,aquifer,20230517,0.0
IA,aquifer,20230630,0.0
IA,aquifer,20230615,0.0
IA,aquifer,20230727,0.0
IA,aquifer,20230710,0.0
IA,aquifer,20230803,0.0
IA,aquifer,20230831,0.0
IA,aquifer,20230906,0.0
IA,aquifer,20230912,0.0
IA,aquifer,20231005,0.0
IA,aquifer,20231020,0.0
IA,aquifer,20231129,0.0
IA,aquifer,20231121,0.0
IA,aquifer,20231228,0.0
IA,aquifer,20231218,0.0
IA,depleted field,20230103,0.0
IA,depleted field,20230130,0.0
IA,depleted field,20230213,0.0
IA,depleted field,20230216,0.0
IA,depleted field,20230306,0.0
IA,depleted field,20230315,0.0
IA,depleted field,20230403,0.0
IA,depleted field,20230410,0.0
IA,depleted field,20230530,0.0
IA,depleted field,20230517,0.0
IA,depleted field,20230630,0.0
IA,depleted field,20230615,0.0
IA,depleted field,20230727,0.0
IA,depleted field,20230710,0.0
IA,depleted field,20230803,0.0
IA,depleted field,20230831,0.0
IA,depleted field,20230906,0.0
IA,depleted field,20230912,0.0
IA,depleted field,20231005,0.0
IA,depleted field,20231020,0.0
IA,depleted field,20231129,0.0
IA,depleted field,20231121,0.0
IA,depleted field,20231228,0.0
IA,depleted field,20231218,0.0
IA,salt cavern,20230103,0.0
IA,salt cavern,20230130,0.0
IA,salt cavern,20230213,0.0
IA,salt cavern,20230216,0.0
IA,salt cavern,20230306,0.0
IA,salt cavern,20230315,0.0
IA,salt cavern,20230403,0.0
IA,salt cavern,20230410,0.0
IA,salt cavern,20230530,0.0
IA,salt cavern,20230517,0.0
IA,salt cavern,20230630,0.0
IA,salt cavern,20230615,0.0
IA,salt cavern,20230727,0.0
IA,salt cavern,20230710,0.0
IA,salt cavern,20230803,0.0
IA,salt cavern,20230831,0.0
IA,salt cavern,20230906,0.0
IA,salt cavern,20230912,0.0
IA,salt cavern,20231005,0.0
IA,salt cavern,20231020,0.0
IA,salt cavern,20231129,0.0
IA,salt cavern,20231121,0.0
IA,salt cavern,20231228,0.0
IA,salt cavern,20231218,0.0
ID,aquifer,20230103,0.0
ID,aquifer,20230130,0.0
ID,aquifer,20230213,0.0
ID,aquifer,20230216,0.0
ID,aquifer,20230306,0.0
ID,aquifer,20230315,0.0
ID,aquifer,20230403,0.0
ID,aquifer,20230410,0.0
ID,aquifer,20230530,0.0
ID,aquifer,20230517,0.0
ID,aquifer,20230630,0.0
ID,aquifer,20230615,0.0
ID,aquifer,20230727,0.0
ID,aquifer,20230710,0.0
ID,aquifer,20230803,0.0
ID,aquifer,20230831,0.0
ID,aquifer,20230906,0.0
ID,aquifer,20230912,0.0
ID,aquifer,20231005,0.0
ID,aquifer,20231020,0.0
ID,aquifer,20231129,0.0
ID,aquifer,20231121,0.0
ID,aquifer,20231228,0.0
ID,aquifer,20231218,0.0
ID,depleted field,20230103,0.0
ID,depleted field,20230130,0.0
ID,depleted field,20230213,0.0
ID,depleted field,20230216,0.0
ID,depleted field,20230306,0.0
ID,depleted field,20230315,0.0
ID,depleted field,20230403,0.0
ID,depleted field,20230410,0.0
ID,depleted field,20230530,0.0
ID,depleted field,20230517,0.0
ID,depleted field,20230630,0.0
ID,depleted field,20230615,0.0
ID,depleted field,20230727,0.0
ID,depleted field,20230710,0.0
ID,depleted field,20230803,0.0
ID,depleted field,20230831,0.0
ID,depleted field,20230906,0.0
ID,depleted field,20230912,0.0
ID,depleted field,20231005,0.0
ID,depleted field,20231020,0.0
ID,depleted field,20231129,0.0
